1506240000000026,4186,GSA63.WNA120
1506240000020529,3189,GSA63.WNA120
1506240000050118,3438,GSA63.WNA120
1506240000070575,3148,GSA63.WNA120
1506240000100176,4252,GSA63.WNA120
1506240000120666,5949,GSA63.WNA120
1506240000150178,3446,GSA63.WNA120
1506240000170702,4492,GSA63.WNA120
1506240000200170,4953,GSA63.WNA120
1506240000220749,3479,GSA63.WNA120
1506240000250250,5928,GSA63.WNA120
1506240000270762,5426,GSA63.WNA120
1506240000300242,2583,GSA63.WNA120
1506240000320731,4894,GSA63.WNA120
1506240000350310,5656,GSA63.WNA120
1506240000380011,3432,GSA63.WNA120
1506240000400814,4121,GSA63.WNA120
1506240000430660,4191,GSA63.WNA120
1506240000460607,4678,GSA63.WNA120
1506240000490595,3464,GSA63.WNA120
1506240000520541,4825,GSA63.WNA120
1506240000550521,3050,GSA63.WNA120
1506240000580423,5356,GSA63.WNA120
1506240001010434,4737,GSA63.WNA120
1506240001040424,4251,GSA63.WNA120
1506240001070371,4101,GSA63.WNA120
1506240001100362,4669,GSA63.WNA120
1506240001130296,4604,GSA63.WNA120
1506240001160232,3226,GSA63.WNA120
1506240001190176,4322,GSA63.WNA120
1506240001220133,4195,GSA63.WNA120
1506240001250136,4849,GSA63.WNA120
1506240001280170,5458,GSA63.WNA120
1506240001310126,5828,GSA63.WNA120
1506240001340128,3765,GSA63.WNA120
1506240001370063,4384,GSA63.WNA120
1506240001390986,4362,GSA63.WNA120
1506240001420921,2818,GSA63.WNA120
1506240001450855,4703,GSA63.WNA120
1506240001480802,5383,GSA63.WNA120
1506240001510792,3540,GSA63.WNA120
1506240001540782,3614,GSA63.WNA120
1506240001570695,3122,GSA63.WNA120
1506240002000684,3747,GSA63.WNA120
1506240002030644,3689,GSA63.WNA120
1506240002060589,4758,GSA63.WNA120
1506240002090523,4504,GSA63.WNA120
1506240003120518,4160,GSA63.WNA120
1506240003150531,3098,GSA63.WNA120
1506240003180011,4403,GSA63.WNA120
1506240003200855,4279,GSA63.WNA120
1506240003230436,3351,GSA63.WNA120
1506240003250824,2438,GSA63.WNA120
1506240003280292,2570,GSA63.WNA120
1506240003300693,5325,GSA63.WNA120
1506240003330261,4337,GSA63.WNA120
1506240003350840,3819,GSA63.WNA120
1506240003380341,4272,GSA63.WNA120
1506240003400842,3481,GSA63.WNA120
1506240003430455,2988,GSA63.WNA120
1506240003450957,3376,GSA63.WNA120
1506240003480493,4892,GSA63.WNA120
1506240003500983,4312,GSA63.WNA120
1506240003580433,4340,GSA63.WNA120
1506240004010553,3565,GSA63.WNA120
1506240004040110,4784,GSA63.WNA120
1506240004060501,4624,GSA63.WNA120
1506240004080982,4014,GSA63.WNA120
1506240004110447,5561,GSA63.WNA120
1506240004130992,4288,GSA63.WNA120
1506240004160483,3517,GSA63.WNA120
1506240004190029,4747,GSA63.WNA120
1506240004210518,5650,GSA63.WNA120
1506240004230996,4200,GSA63.WNA120
1506240004260510,3300,GSA63.WNA120
1506240004290000,4864,GSA63.WNA120
1506240004310501,5428,GSA63.WNA120
1506240004340001,4673,GSA63.WNA120
1506240004360525,5651,GSA63.WNA120
1506240004440016,3281,GSA63.WNA120
1506240004470142,4409,GSA63.WNA120
1506240004490732,3332,GSA63.WNA120
1506240004520065,5317,GSA63.WNA120
1506240004540590,3390,GSA63.WNA120
1506240004570013,4213,GSA63.WNA120
1506240004590570,4835,GSA63.WNA120
1506240005010993,5198,GSA63.WNA120
1506240005040482,4647,GSA63.WNA120
1506240005070017,4525,GSA63.WNA120
1506240005090543,4602,GSA63.WNA120
1506240005120063,4814,GSA63.WNA120
1506240005140622,4856,GSA63.WNA120
1506240005170100,3090,GSA63.WNA120
1506240005190600,4919,GSA63.WNA120
1506240005220091,4879,GSA63.WNA120
1506240007070639,4878,GSA63.WNA120
1506240007100330,3456,GSA63.WNA120
1506240007120852,3292,GSA63.WNA120
1506240007150343,4545,GSA63.WNA120
1506240007170855,4910,GSA63.WNA120
1506240007200345,3410,GSA63.WNA120
1506240007220835,3394,GSA63.WNA120
1506240007250324,5584,GSA63.WNA120
1506240007270838,4858,GSA63.WNA120
1506240007300339,4013,GSA63.WNA120
1506240007320873,4630,GSA63.WNA120
1506240007350384,1996,GSA63.WNA120
1506240007370875,4265,GSA63.WNA120
